timestamp,event_id,source_type,source_ip,destination_ip,hostname,user,process_name,command_line,destination_port,protocol,event_category,event_name,description,xgboost_prediction,xgboost_confidence,attack_scenario,mitre_tactic,mitre_technique,mitre_id,severity,status
2026-05-02 08:18:00,EVT-001,endpoint_log,10.0.0.5,-,HMI-Operator,mohammed,-,-,-,-,Normal Activity,User Login,Operator logged in to HMI workstation.,Benign,0.98,USB Injection,-,-,-,Info,Benign
2026-05-02 08:18:20,EVT-002,network_log,10.0.0.5,10.0.0.10,HMI-Operator,mohammed,-,-,-,-,Normal Activity,SCADA Dashboard Access,Expected HMI access to SCADA dashboard.,Benign,0.96,USB Injection,-,-,-,Info,Benign
2026-05-02 08:18:45,EVT-003,scada_log,10.0.0.10,10.0.0.20,SCADA-Server,service_scada,-,-,-,-,Normal Activity,PLC Read Status,SCADA server read PLC status values.,Benign,0.95,USB Injection,-,-,-,Info,Benign
2026-05-02 08:19:30,EVT-004,endpoint_log,10.0.0.5,-,HMI-Operator,mohammed,-,-,-,-,Initial Access,USB Device Inserted,A removable USB storage device was connected to the HMI workstation.,Malicious,0.88,USB Injection,Initial Access,Hardware Additions,T1200,Medium,Suspicious
2026-05-02 08:19:38,EVT-005,endpoint_log,10.0.0.5,-,HMI-Operator,mohammed,-,-,-,-,Execution,File Created From USB,maintenance_update.exe appeared from removable media.,Malicious,0.91,USB Injection,Execution,User Execution,T1204,High,Suspicious
2026-05-02 08:19:50,EVT-006,endpoint_log,10.0.0.5,-,HMI-Operator,mohammed,maintenance_update.exe,E:\maintenance_update.exe,-,-,Execution,Suspicious File Executed,maintenance_update.exe was executed by the user.,Malicious,0.97,USB Injection,Execution,User Execution,T1204,High,Malicious
2026-05-02 08:19:56,EVT-007,endpoint_log,10.0.0.5,-,HMI-Operator,mohammed,powershell.exe,powershell.exe -enc JABjAGwAaQBlAG4AdA...,-,-,Execution,PowerShell Spawned,Executable spawned PowerShell with encoded command.,Malicious,0.99,USB Injection,Execution,Command and Scripting Interpreter: PowerShell,T1059.001,Critical,Malicious
2026-05-02 08:20:10,EVT-008,endpoint_log,10.0.0.5,-,HMI-Operator,mohammed,reg.exe,reg add HKCU\Software\Microsoft\Windows\CurrentVersion\Run /v UpdateSvc,-,-,Persistence,Registry Run Key Modified,Registry Run key created to execute updater service at logon.,Malicious,0.95,USB Injection,Persistence,Registry Run Keys / Startup Folder,T1060,High,Malicious
2026-05-02 08:20:30,EVT-009,endpoint_log,10.0.0.5,-,HMI-Operator,mohammed,sc.exe,sc stop security_service,-,-,Defense Evasion,Security Tool Disabled,Endpoint protection service stopped unexpectedly.,Malicious,0.94,USB Injection,Defense Evasion,Impair Defenses,T1562,High,Malicious
2026-05-02 08:20:50,EVT-010,network_log,10.0.0.5,185.199.108.153,HMI-Operator,mohammed,maintenance_update.exe,-,443,TCP,Command and Control,Outbound HTTPS Beacon,Periodic HTTPS connection to external host.,Malicious,0.93,USB Injection,Command and Control,Application Layer Protocol: Web Protocols,T1071.001,High,Suspicious
